2026-05-10 12:49:45,693 | WARNING | GDELT status=429. Sleeping 15.5s then retry/skip. query=("Axcelis Technologies" OR "Axcelis Technologies earnings" OR "Axcelis Technologies stock") sourcelang:english
2026-05-10 12:50:05,728 | WARNING | GDELT status=429. Sleeping 30.3s then retry/skip. query=("Axcelis Technologies" OR "Axcelis Technologies earnings" OR "Axcelis Technologies stock") sourcelang:english
2026-05-10 12:50:38,932 | WARNING | GDELT status=429. Sleeping 15.2s then retry/skip. query=("Axcelis Technologies" OR "Axcelis Technologies earnings" OR "Axcelis Technologies stock") sourcelang:english
2026-05-10 12:51:01,844 | INFO | Ticker ACLS fallback split window 2018-01-01 -> 2018-01-31 got 21 articles
2026-05-10 12:51:01,909 | INFO | Ticker ACLS reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:51:01,910 | INFO | Ticker ACLS done. months_processed=1 kept_articles=21
2026-05-10 12:51:19,027 | WARNING | GDELT status=429. Sleeping 15.1s then retry/skip. query=("ACM Research Inc" OR "ACM Research earnings" OR "ACM Research stock") sourcelang:english -"Association for Computing Machinery"
2026-05-10 12:51:36,250 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("ACM Research Inc" OR "ACM Research earnings" OR "ACM Research stock") sourcelang:english -"Association for Computing Machinery"
2026-05-10 12:52:09,247 | WARNING | GDELT status=429. Sleeping 15.7s then retry/skip. query=("ACM Research Inc" OR "ACM Research earnings" OR "ACM Research stock") sourcelang:english -"Association for Computing Machinery"
2026-05-10 12:52:47,971 | WARNING | GDELT status=429. Sleeping 15.5s then retry/skip. query=("ACM Research Inc" OR "ACM Research earnings" OR "ACM Research stock") sourcelang:english -"Association for Computing Machinery"
2026-05-10 12:53:05,759 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("ACM Research Inc" OR "ACM Research earnings" OR "ACM Research stock") sourcelang:english -"Association for Computing Machinery"
2026-05-10 12:53:36,286 | INFO | Ticker ACMR fallback split window 2018-01-01 -> 2018-01-31 got 1 articles
2026-05-10 12:53:36,358 | INFO | Ticker ACMR reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:53:36,359 | INFO | Ticker ACMR done. months_processed=1 kept_articles=1
2026-05-10 12:53:38,084 | WARNING | GDELT status=429. Sleeping 15.2s then retry/skip. query=("Aclaris Therapeutics" OR "Aclaris Therapeutics stock") sourcelang:english
2026-05-10 12:53:54,798 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("Aclaris Therapeutics" OR "Aclaris Therapeutics stock") sourcelang:english
2026-05-10 12:54:27,062 | WARNING | GDELT status=429. Sleeping 15.5s then retry/skip. query=("Aclaris Therapeutics" OR "Aclaris Therapeutics stock") sourcelang:english
2026-05-10 12:55:03,550 | WARNING | GDELT status=429. Sleeping 15.4s then retry/skip. query=("Aclaris Therapeutics" OR "Aclaris Therapeutics stock") sourcelang:english
2026-05-10 12:55:21,977 | WARNING | GDELT status=429. Sleeping 30.8s then retry/skip. query=("Aclaris Therapeutics" OR "Aclaris Therapeutics stock") sourcelang:english
2026-05-10 12:55:52,749 | INFO | Ticker ACRS fallback split window 2018-01-01 -> 2018-01-31 got 23 articles
2026-05-10 12:55:52,819 | INFO | Ticker ACRS reached max_windows_per_ticker=1. Stop further windows.
